# Millis,estlat,estlon,nextwaypoint,bearing,distance,heading
5407,39.6019890,-104.9297780,1,84.80,6.437,71.000
5457,39.6019900,-104.9297750,1,85.50,6.125,71.600
5507,39.6019900,-104.9297710,1,86.30,5.813,72.100
5557,39.6019910,-104.9297680,1,87.10,5.507,72.400
5607,39.6019920,-104.9297640,1,88.00,5.196,73.000
5657,39.6019930,-104.9297610,1,88.90,4.886,73.500
5707,39.6019940,-104.9297570,1,90.00,4.562,73.900
5757,39.6019950,-104.9297530,1,91.20,4.254,74.000
5807,39.6019950,-104.9297500,1,92.60,3.948,74.200
5857,39.6019960,-104.9297460,1,94.20,3.639,74.700
5907,39.6019970,-104.9297420,1,96.10,3.337,75.100
5957,39.6019980,-104.9297390,1,98.20,3.043,75.700
6007,39.6019980,-104.9297350,2,-9.90,13.905,75.900
6057,39.6019990,-104.9297310,2,-11.20,13.887,76.600
6107,39.6020000,-104.9297280,2,-12.60,13.879,77.200
6157,39.6020000,-104.9297240,2,-13.90,13.883,77.600
6207,39.6020010,-104.9297200,2,-15.20,13.893,76.500
6257,39.6020020,-104.9297170,2,-16.60,13.902,74.000
6307,39.6020030,-104.9297130,2,-17.90,13.902,70.900
6357,39.6020040,-104.9297090,2,-19.30,13.893,68.100
6407,39.6020050,-104.9297060,2,-20.60,13.873,64.500
6457,39.6020060,-104.9297020,2,-22.00,13.843,62.100
6507,39.6020080,-104.9296990,2,-23.30,13.805,58.800
6557,39.6020090,-104.9296960,2,-24.70,13.758,56.000
6607,39.6020110,-104.9296930,2,-26.00,13.699,52.000
6657,39.6020130,-104.9296900,2,-27.40,13.627,49.000
6707,39.6020150,-104.9296870,2,-28.70,13.547,45.000
6757,39.6020170,-104.9296850,2,-29.90,13.455,42.200
6807,39.6020190,-104.9296820,2,-31.20,13.351,38.400
6857,39.6020210,-104.9296800,2,-32.50,13.238,36.400
6907,39.6020240,-104.9296780,2,-33.80,13.115,32.600
6957,39.6020260,-104.9296760,2,-35.10,12.987,30.100
7007,39.6020290,-104.9296740,2,-36.40,12.844,25.800
7057,39.6020310,-104.9296720,2,-37.70,12.698,23.600
7107,39.6020340,-104.9296710,2,-38.90,12.535,18.700
7157,39.6020360,-104.9296700,2,-40.10,12.371,16.800
7207,39.6020390,-104.9296690,2,-41.30,12.190,12.600
7257,39.6020420,-104.9296680,2,-42.60,12.001,11.200
7307,39.6020450,-104.9296680,2,-43.80,11.812,8.400
7357,39.6020480,-104.9296670,2,-45.00,11.620,6.300
7407,39.6020510,-104.9296670,2,-46.20,11.420,5.000
7457,39.6020530,-104.9296660,2,-47.50,11.224,2.700
7507,39.6020560,-104.9296660,2,-48.70,11.023,2.000
7557,39.6020590,-104.9296660,2,-50.00,10.823,-0.100
7607,39.6020620,-104.9296660,2,-51.30,10.620,-0.600
7657,39.6020650,-104.9296660,2,-52.60,10.418,-3.000
7707,39.6020680,-104.9296660,2,-54.00,10.215,-3.400
7757,39.6020700,-104.9296670,2,-55.40,10.014,-5.700
7807,39.6020730,-104.9296670,2,-56.80,9.811,-5.800
7857,39.6020760,-104.9296680,2,-58.20,9.611,-8.000
7907,39.6020790,-104.9296680,2,-59.70,9.418,-7.600
7957,39.6020820,-104.9296690,2,-61.20,9.222,-8.700
8007,39.6020840,-104.9296690,2,-62.80,9.038,-8.600
8057,39.6020870,-104.9296700,2,-64.40,8.853,-10.700
8107,39.6020900,-104.9296700,2,-66.10,8.667,-12.100
8157,39.6020930,-104.9296710,2,-67.80,8.483,-14.600
8207,39.6020950,-104.9296720,2,-69.50,8.294,-15.900
8257,39.6020980,-104.9296730,2,-71.30,8.106,-18.000
8307,39.6021010,-104.9296750,2,-73.10,7.918,-19.100
8357,39.6021030,-104.9296760,2,-74.90,7.739,-20.800
8407,39.6021060,-104.9296770,2,-76.90,7.554,-22.600
