# Millis,estlat,estlon,nextwaypoint,bearing,distance,heading
29400,39.6019350,-104.9301010,4,117.70,6.438,151.400
29450,39.6019330,-104.9300990,4,116.20,6.196,149.700
29500,39.6019310,-104.9300970,4,114.70,5.953,148.800
29550,39.6019280,-104.9300950,4,113.10,5.708,147.000
29600,39.6019260,-104.9300930,4,111.40,5.467,146.200
29650,39.6019240,-104.9300920,4,109.60,5.232,144.300
29700,39.6019220,-104.9300890,4,107.70,4.989,142.900
29750,39.6019200,-104.9300870,4,105.80,4.751,140.700
29800,39.6019180,-104.9300850,4,103.60,4.509,139.200
29850,39.6019160,-104.9300830,4,101.40,4.273,137.200
29900,39.6019140,-104.9300810,4,99.00,4.038,136.000
29950,39.6019120,-104.9300780,4,96.40,3.803,134.300
30000,39.6019100,-104.9300760,4,93.50,3.572,132.600
30050,39.6019090,-104.9300730,4,90.50,3.351,130.200
30100,39.6019070,-104.9300700,4,87.10,3.126,128.300
